window_id,config_id,repetition,query,policy_id,policy_name,decision,rf_predicted_qir,q95_predicted_qir,actual_concurrent_qir,observed_effective_qir,maintenance_executed,maintenance_delay_sec,maintenance_starved,sla_violation
8,frag50_multi_stream_FIFO,1,Q12,policy_5_conservative_quantile,Conservative Quantile Policy (q=0.95 Upper Bound),RUN,1.334817847935259,6.853491147973638,-0.6548046189818023,-0.6548046189818023,1,0.0,0,0
9,frag50_multi_stream_FIFO,1,Q14,policy_1_always_run,Always Run (Baseline),RUN,1.334817847935259,10.722984486936314,8.05941242242554,8.05941242242554,1,0.0,0,0
9,frag50_multi_stream_FIFO,1,Q14,policy_2_always_defer,Always Defer,DEFER,1.334817847935259,10.722984486936314,8.05941242242554,0.0,0,1.8915722370147705,1,0
9,frag50_multi_stream_FIFO,1,Q14,policy_3_heuristic,Simple Resource Heuristic,RUN,1.334817847935259,10.722984486936314,8.05941242242554,8.05941242242554,1,0.0,0,0
9,frag50_multi_stream_FIFO,1,Q14,policy_4_predictive_qir,Predictive QIR Policy (RF Regressor),RUN,1.334817847935259,10.722984486936314,8.05941242242554,8.05941242242554,1,0.0,0,0
9,frag50_multi_stream_FIFO,1,Q14,policy_5_conservative_quantile,Conservative Quantile Policy (q=0.95 Upper Bound),DEFER,1.334817847935259,10.722984486936314,8.05941242242554,0.0,0,1.8915722370147705,1,0
10,frag50_multi_stream_FIFO,1,Q18,policy_1_always_run,Always Run (Baseline),RUN,1.334817847935259,6.8597201163536115,2.287327529563869,2.287327529563869,1,0.0,0,0
10,frag50_multi_stream_FIFO,1,Q18,policy_2_always_defer,Always Defer,DEFER,1.334817847935259,6.8597201163536115,2.287327529563869,0.0,0,3.93083119392395,1,0
10,frag50_multi_stream_FIFO,1,Q18,policy_3_heuristic,Simple Resource Heuristic,RUN,1.334817847935259,6.8597201163536115,2.287327529563869,2.287327529563869,1,0.0,0,0
10,frag50_multi_stream_FIFO,1,Q18,policy_4_predictive_qir,Predictive QIR Policy (RF Regressor),RUN,1.334817847935259,6.8597201163536115,2.287327529563869,2.287327529563869,1,0.0,0,0
10,frag50_multi_stream_FIFO,1,Q18,policy_5_conservative_quantile,Conservative Quantile Policy (q=0.95 Upper Bound),RUN,1.334817847935259,6.8597201163536115,2.287327529563869,2.287327529563869,1,0.0,0,0
11,frag50_multi_stream_FIFO,2,Q1,policy_1_always_run,Always Run (Baseline),RUN,4.421706485691837,16.70954872785711,4.327255343808503,4.327255343808503,1,0.0,0,0
11,frag50_multi_stream_FIFO,2,Q1,policy_2_always_defer,Always Defer,DEFER,4.421706485691837,16.70954872785711,4.327255343808503,0.0,0,7.790262699127197,1,0
11,frag50_multi_stream_FIFO,2,Q1,policy_3_heuristic,Simple Resource Heuristic,RUN,4.421706485691837,16.70954872785711,4.327255343808503,4.327255343808503,1,0.0,0,0
11,frag50_multi_stream_FIFO,2,Q1,policy_4_predictive_qir,Predictive QIR Policy (RF Regressor),RUN,4.421706485691837,16.70954872785711,4.327255343808503,4.327255343808503,1,0.0,0,0
11,frag50_multi_stream_FIFO,2,Q1,policy_5_conservative_quantile,Conservative Quantile Policy (q=0.95 Upper Bound),DEFER,4.421706485691837,16.70954872785711,4.327255343808503,0.0,0,7.790262699127197,1,0
12,frag50_multi_stream_FIFO,2,Q3,policy_1_always_run,Always Run (Baseline),RUN,10.265375062826964,19.132003981560004,4.608834559126264,4.608834559126264,1,0.0,0,0
12,frag50_multi_stream_FIFO,2,Q3,policy_2_always_defer,Always Defer,DEFER,10.265375062826964,19.132003981560004,4.608834559126264,0.0,0,2.4784679412841797,1,0
12,frag50_multi_stream_FIFO,2,Q3,policy_3_heuristic,Simple Resource Heuristic,RUN,10.265375062826964,19.132003981560004,4.608834559126264,4.608834559126264,1,0.0,0,0
12,frag50_multi_stream_FIFO,2,Q3,policy_4_predictive_qir,Predictive QIR Policy (RF Regressor),DEFER,10.265375062826964,19.132003981560004,4.608834559126264,0.0,0,2.4784679412841797,1,0
12,frag50_multi_stream_FIFO,2,Q3,policy_5_conservative_quantile,Conservative Quantile Policy (q=0.95 Upper Bound),DEFER,10.265375062826964,19.132003981560004,4.608834559126264,0.0,0,2.4784679412841797,1,0
13,frag50_multi_stream_FIFO,2,Q6,policy_1_always_run,Always Run (Baseline),RUN,5.266470773344442,16.27058224352987,0.9900644315450196,0.9900644315450196,1,0.0,0,0
13,frag50_multi_stream_FIFO,2,Q6,policy_2_always_defer,Always Defer,DEFER,5.266470773344442,16.27058224352987,0.9900644315450196,0.0,0,2.0480268001556396,1,0
13,frag50_multi_stream_FIFO,2,Q6,policy_3_heuristic,Simple Resource Heuristic,RUN,5.266470773344442,16.27058224352987,0.9900644315450196,0.9900644315450196,1,0.0,0,0
13,frag50_multi_stream_FIFO,2,Q6,policy_4_predictive_qir,Predictive QIR Policy (RF Regressor),RUN,5.266470773344442,16.27058224352987,0.9900644315450196,0.9900644315450196,1,0.0,0,0
13,frag50_multi_stream_FIFO,2,Q6,policy_5_conservative_quantile,Conservative Quantile Policy (q=0.95 Upper Bound),DEFER,5.266470773344442,16.27058224352987,0.9900644315450196,0.0,0,2.0480268001556396,1,0
14,frag50_multi_stream_FIFO,2,Q12,policy_1_always_run,Always Run (Baseline),RUN,4.421706485691837,13.270590650002154,3.1329462805564465,3.1329462805564465,1,0.0,0,0
14,frag50_multi_stream_FIFO,2,Q12,policy_2_always_defer,Always Defer,DEFER,4.421706485691837,13.270590650002154,3.1329462805564465,0.0,0,2.050571918487549,1,0
14,frag50_multi_stream_FIFO,2,Q12,policy_3_heuristic,Simple Resource Heuristic,RUN,4.421706485691837,13.270590650002154,3.1329462805564465,3.1329462805564465,1,0.0,0,0
14,frag50_multi_stream_FIFO,2,Q12,policy_4_predictive_qir,Predictive QIR Policy (RF Regressor),RUN,4.421706485691837,13.270590650002154,3.1329462805564465,3.1329462805564465,1,0.0,0,0
14,frag50_multi_stream_FIFO,2,Q12,policy_5_conservative_quantile,Conservative Quantile Policy (q=0.95 Upper Bound),DEFER,4.421706485691837,13.270590650002154,3.1329462805564465,0.0,0,2.050571918487549,1,0
15,frag50_multi_stream_FIFO,2,Q14,policy_1_always_run,Always Run (Baseline),RUN,4.421706485691837,17.140103650266337,-4.113787712643832,-4.113787712643832,1,0.0,0,0
15,frag50_multi_stream_FIFO,2,Q14,policy_2_always_defer,Always Defer,DEFER,4.421706485691837,17.140103650266337,-4.113787712643832,0.0,0,1.9031293392181396,1,0
15,frag50_multi_stream_FIFO,2,Q14,policy_3_heuristic,Simple Resource Heuristic,RUN,4.421706485691837,17.140103650266337,-4.113787712643832,-4.113787712643832,1,0.0,0,0
