stage_id,task_id,launch_time,finish_time,duration_ms,executor_cpu_time_ms,jvm_gc_time_ms,deserialize_time_ms,serialize_time_ms,peak_memory_bytes,disk_spilled_bytes,memory_spilled_bytes
944,2079,1788185168648,1788185170634,1986,988.943812,94,0,0,0,0,0
944,2077,1788185168648,1788185170665,2017,1044.445067,94,0,0,0,0,0
944,2070,1788185168647,1788185170668,2021,1051.815319,94,0,0,0,0,0
944,2076,1788185168648,1788185170672,2024,1041.238078,94,1,0,0,0,0
944,2082,1788185168648,1788185170676,2028,1046.884203,94,0,0,0,0,0
944,2080,1788185168648,1788185170687,2039,1072.601239,94,0,0,0,0,0
944,2083,1788185168648,1788185170714,2066,1054.258237,94,0,0,0,0,0
944,2074,1788185168648,1788185170718,2070,1018.248997,94,0,0,0,0,0
944,2078,1788185168648,1788185170727,2079,1034.285509,94,0,0,0,0,0
944,2085,1788185170312,1788185170948,636,408.071203,0,0,0,0,0,0
944,2084,1788185170221,1788185170975,754,539.397324,0,0,0,0,0,0
946,2088,1788185173973,1788185175223,1250,1150.923169,40,2,0,8650736,0,0
946,2087,1788185173973,1788185180196,6223,6023.479949,111,1,0,8650736,0,0
948,2089,1788185180232,1788185180237,5,3.074338,0,1,0,8650736,0,0
950,2090,1788185180241,1788185180247,6,2.986812,0,2,0,8650736,0,0
953,2091,1788185180259,1788185180263,4,1.180814,0,1,0,8454128,0,0
955,2094,1788185181619,1788185181646,27,17.167134,0,0,0,0,0,0
954,2093,1788185181616,1788185181838,222,184.228483,0,1,0,0,0,0
956,2095,1788185181672,1788185182042,370,188.773941,0,1,0,2097152,0,0
958,2096,1788185182053,1788185182081,28,21.73127,0,0,0,0,0,0
954,2092,1788185181615,1788185182633,1018,882.852885,20,1,0,0,0,0
960,2105,1788185182653,1788185182691,38,27.987625,0,2,0,34078688,0,0
960,2102,1788185182653,1788185182692,39,34.703191,0,2,0,34078688,0,0
960,2099,1788185182653,1788185182693,40,35.132126,0,2,0,34078688,0,0
960,2109,1788185182653,1788185182694,41,35.041154,0,3,0,34078688,0,0
960,2103,1788185182653,1788185182694,41,34.141987,0,4,0,34078688,0,0
960,2104,1788185182653,1788185182694,41,35.716931,0,2,0,34078688,0,0
960,2106,1788185182653,1788185182695,42,34.752844,0,2,0,34078688,0,0
960,2097,1788185182653,1788185182695,42,34.53772,0,2,0,34078688,0,0
960,2107,1788185182653,1788185182695,42,34.613863,0,2,0,34078688,0,0
960,2098,1788185182653,1788185182697,44,36.551807,0,2,0,34078688,0,0
960,2108,1788185182653,1788185182697,44,36.370766,0,2,0,34078688,0,0
960,2100,1788185182653,1788185182697,44,36.306056,0,2,0,34078688,0,0
960,2101,1788185182653,1788185182698,45,36.298132,0,2,0,34078688,0,0
960,2111,1788185182653,1788185182698,45,36.189094,0,2,0,34078688,0,0
960,2110,1788185182653,1788185182699,46,35.397882,0,2,0,34078688,0,0
960,2113,1788185182691,1788185182711,20,16.431348,0,2,0,34078688,0,0
960,2112,1788185182689,1788185182717,28,24.181114,0,2,0,34078688,0,0
961,2115,1788185184174,1788185184238,64,56.411923,0,1,0,0,0,0
961,2114,1788185184174,1788185184496,322,296.629227,0,1,0,0,0,0
963,2116,1788185184505,1788185184506,1,0.50663,0,0,0,0,0,0
945,2086,1788185172337,1788185185089,12752,11356.780581,165,1,0,0,0,0
965,2119,1788185185836,1788185185898,62,59.311957,0,0,0,0,0,0
965,2118,1788185185835,1788185186194,359,352.100394,0,0,0,0,0,0
964,2117,1788185185832,1788185186203,371,350.149815,0,1,0,0,0,0
967,2120,1788185186205,1788185186211,6,5.570859,0,0,0,0,0,0
969,2122,1788185186264,1788185186292,28,20.456748,0,5,0,3407872,0,0
969,2130,1788185186265,1788185186293,28,23.29935,0,3,0,3407872,0,0
969,2133,1788185186265,1788185186310,45,23.019358,15,2,0,3407872,0,0
969,2124,1788185186264,1788185186310,46,24.729845,15,2,0,3407872,0,0
969,2131,1788185186265,1788185186310,45,23.806633,15,2,0,3407872,0,0
969,2123,1788185186264,1788185186311,47,24.65403,15,4,0,3407872,0,0
969,2129,1788185186265,1788185186311,46,23.013804,15,3,0,3407872,0,0
969,2128,1788185186265,1788185186312,47,22.896482,15,6,0,3407872,0,0
969,2125,1788185186264,1788185186312,48,23.959989,15,2,0,3407872,0,0
969,2127,1788185186265,1788185186312,47,23.127919,15,4,0,3407872,0,0
969,2134,1788185186265,1788185186312,47,23.107442,15,6,0,3407872,0,0
969,2121,1788185186264,1788185186313,49,23.976892,15,3,0,3407872,0,0
969,2126,1788185186265,1788185186313,48,23.083337,15,2,0,3407872,0,0
969,2132,1788185186265,1788185186317,52,21.583019,15,4,0,3407872,0,0
972,2135,1788185186333,1788185186336,3,1.645326,0,1,0,8650736,0,0
975,2136,1788185186340,1788185186344,4,1.852455,0,1,0,8650736,0,0
979,2137,1788185186354,1788185186357,3,0.935575,0,1,0,8454128,0,0
980,2138,1788185187625,1788185187679,54,38.34037,0,0,0,0,0,0
981,2140,1788185187740,1788185187772,32,28.836458,0,0,0,18377216,0,0
981,2139,1788185187740,1788185187987,247,239.523316,0,0,0,18377216,0,0
983,2141,1788185187997,1788185187998,1,0.492414,0,0,0,0,0,0
985,2143,1788185189343,1788185189391,48,33.274027,0,0,0,0,0,0
987,2147,1788185189347,1788185189493,146,137.778535,0,1,0,0,0,0
986,2145,1788185189344,1788185189548,204,195.349189,0,1,0,25165792,0,0
984,2142,1788185189339,1788185189862,523,472.001253,18,2,0,0,0,0
987,2146,1788185189347,1788185190280,933,886.748385,18,1,0,0,0,0
986,2144,1788185189344,1788185190972,1628,1568.851016,29,1,0,167771968,0,0
991,2157,1788185191012,1788185191222,210,161.590345,0,3,0,43732832,0,0
991,2149,1788185191012,1788185191442,430,392.502069,10,3,0,123490032,0,0
991,2156,1788185191012,1788185191470,458,418.319129,10,3,0,123490032,0,0
991,2150,1788185191012,1788185191473,461,428.100444,10,3,0,123490032,0,0
