config_id,frag_files,workload_type,scheduler_mode,repetition,run_type,query,client_start_time,client_end_time,duration_ms
frag200_multi_stream_FIFO,200,multi_stream,FIFO,0,baseline,Q6,1788183249.2411659,1788183251.110648,1869.4820404052734
frag200_multi_stream_FIFO,200,multi_stream,FIFO,0,baseline,Q12,1788183251.111419,1788183253.0074592,1896.0402011871338
frag200_multi_stream_FIFO,200,multi_stream,FIFO,0,baseline,Q14,1788183253.0082114,1788183254.7568367,1748.6252784729004
frag200_multi_stream_FIFO,200,multi_stream,FIFO,0,baseline,Q18,1788183254.7575965,1788183258.5823228,3824.726343154907
frag200_multi_stream_FIFO,200,multi_stream,FIFO,0,concurrent,Q1,1788183275.3574202,1788183283.1722116,7814.791440963745
frag200_multi_stream_FIFO,200,multi_stream,FIFO,0,concurrent,Q3,1788183283.173015,1788183285.9458277,2772.812604904175
frag200_multi_stream_FIFO,200,multi_stream,FIFO,0,concurrent,Q6,1788183285.9464617,1788183287.9456375,1999.175786972046
frag200_multi_stream_FIFO,200,multi_stream,FIFO,0,concurrent,Q12,1788183287.9463985,1788183290.0310204,2084.6219062805176
frag200_multi_stream_FIFO,200,multi_stream,FIFO,0,concurrent,Q14,1788183290.0332057,1788183291.9185393,1885.33353805542
frag200_multi_stream_FIFO,200,multi_stream,FIFO,0,concurrent,Q18,1788183291.9192407,1788183295.8483646,3929.123878479004
frag200_multi_stream_FIFO,200,multi_stream,FIFO,1,concurrent,Q1,1788183313.1303434,1788183321.5128891,8382.545709609985
frag200_multi_stream_FIFO,200,multi_stream,FIFO,1,concurrent,Q3,1788183321.5196238,1788183323.9775472,2457.923412322998
frag200_multi_stream_FIFO,200,multi_stream,FIFO,1,concurrent,Q6,1788183323.978464,1788183326.1348493,2156.3854217529297
frag200_multi_stream_FIFO,200,multi_stream,FIFO,1,concurrent,Q12,1788183326.1354861,1788183328.0823555,1946.8693733215332
frag200_multi_stream_FIFO,200,multi_stream,FIFO,1,concurrent,Q14,1788183328.083103,1788183329.8720672,1788.9642715454102
frag200_multi_stream_FIFO,200,multi_stream,FIFO,1,concurrent,Q18,1788183329.8727527,1788183334.0687795,4196.026802062988
frag200_multi_stream_FIFO,200,multi_stream,FIFO,1,baseline,Q1,1788183348.9622848,1788183356.621949,7659.664154052734
frag200_multi_stream_FIFO,200,multi_stream,FIFO,1,baseline,Q3,1788183356.628826,1788183359.050028,2421.2021827697754
frag200_multi_stream_FIFO,200,multi_stream,FIFO,1,baseline,Q6,1788183359.0507424,1788183361.0288558,1978.1134128570557
frag200_multi_stream_FIFO,200,multi_stream,FIFO,1,baseline,Q12,1788183361.0295546,1788183363.0170705,1987.515926361084
frag200_multi_stream_FIFO,200,multi_stream,FIFO,1,baseline,Q14,1788183363.0180304,1788183364.8426783,1824.6479034423828
frag200_multi_stream_FIFO,200,multi_stream,FIFO,1,baseline,Q18,1788183364.8435082,1788183368.9364529,4092.944622039795
frag200_multi_stream_FIFO,200,multi_stream,FIFO,2,baseline,Q1,1788183384.1652405,1788183391.7883863,7623.145818710327
