scheduler_mode,repetition,query,overlap_ratio,qir_pct
FIFO,15,Q1,1.0000,5.59
FIFO,15,Q3,1.0000,20.95
FIFO,15,Q6,1.0000,29.08
FIFO,15,Q12,1.0000,-1.11
FIFO,15,Q14,1.0000,21.97
FIFO,15,Q18,1.0000,12.16
FIFO,16,Q1,1.0000,7.89
FIFO,16,Q3,1.0000,8.73
FIFO,16,Q6,1.0000,28.68
FIFO,16,Q12,1.0000,-4.63
FIFO,16,Q14,1.0000,38.94
FIFO,16,Q18,1.0000,2.52
FIFO,17,Q1,1.0000,8.53
FIFO,17,Q3,1.0000,11.17
FIFO,17,Q6,1.0000,28.40
FIFO,17,Q12,1.0000,4.88
FIFO,17,Q14,1.0000,28.89
FIFO,17,Q18,1.0000,3.83
FIFO,18,Q1,1.0000,7.16
FIFO,18,Q3,1.0000,0.62
FIFO,18,Q6,1.0000,15.54
FIFO,18,Q12,1.0000,0.32
FIFO,18,Q14,1.0000,17.07
FIFO,18,Q18,1.0000,13.44
FIFO,19,Q1,1.0000,5.50
FIFO,19,Q3,1.0000,27.45
FIFO,19,Q6,1.0000,16.41
FIFO,19,Q12,1.0000,-1.86
FIFO,19,Q14,1.0000,12.08
FIFO,19,Q18,1.0000,16.98
FIFO,20,Q1,1.0000,4.12
FIFO,20,Q3,1.0000,10.29
FIFO,20,Q6,1.0000,10.79
FIFO,20,Q12,1.0000,-10.82
FIFO,20,Q14,1.0000,11.66
FIFO,20,Q18,1.0000,-0.11
FIFO,21,Q1,1.0000,7.46
FIFO,21,Q3,1.0000,11.37
FIFO,21,Q6,1.0000,28.79
FIFO,21,Q12,1.0000,0.74
FIFO,21,Q14,1.0000,13.51
FIFO,21,Q18,1.0000,9.04
FAIR,0,Q1,1.0000,0.00
FAIR,0,Q3,1.0000,0.00
FAIR,0,Q6,1.0000,0.00
FAIR,0,Q12,1.0000,0.00
FAIR,0,Q14,1.0000,0.00
FAIR,0,Q18,1.0000,0.00
FAIR,1,Q1,1.0000,0.00
FAIR,1,Q3,1.0000,0.00
FAIR,1,Q6,1.0000,0.00
FAIR,1,Q12,1.0000,0.00
FAIR,1,Q14,1.0000,0.00
FAIR,1,Q18,1.0000,0.00
FAIR,2,Q1,1.0000,4.30
FAIR,2,Q3,1.0000,17.57
FAIR,2,Q6,1.0000,14.30
FAIR,2,Q12,1.0000,-8.54
FAIR,2,Q14,1.0000,22.16
FAIR,2,Q18,1.0000,1.75
FAIR,3,Q1,1.0000,5.20
FAIR,3,Q3,1.0000,31.50
FAIR,3,Q6,1.0000,40.28
FAIR,3,Q12,1.0000,5.17
FAIR,3,Q14,1.0000,53.37
FAIR,3,Q18,1.0000,12.67
FAIR,4,Q1,1.0000,6.04
FAIR,4,Q3,1.0000,7.45
FAIR,4,Q6,1.0000,-3.83
FAIR,4,Q12,1.0000,28.71
FAIR,4,Q14,1.0000,10.78
FAIR,4,Q18,1.0000,21.70
FAIR,5,Q1,1.0000,17.45
FAIR,5,Q3,1.0000,28.14
FAIR,5,Q6,1.0000,7.35
FAIR,5,Q12,1.0000,-2.00
FAIR,5,Q14,1.0000,36.29
FAIR,5,Q18,1.0000,19.68
FAIR,6,Q1,1.0000,22.51
FAIR,6,Q3,1.0000,11.33
FAIR,6,Q6,1.0000,17.78
FAIR,6,Q12,1.0000,-0.48
FAIR,6,Q14,1.0000,57.94
FAIR,6,Q18,1.0000,22.09
FAIR,7,Q1,1.0000,14.79
FAIR,7,Q3,1.0000,49.20
FAIR,7,Q6,1.0000,23.67
FAIR,7,Q12,1.0000,23.02
FAIR,7,Q14,1.0000,18.20
FAIR,7,Q18,1.0000,7.36
FAIR,8,Q1,1.0000,23.05
FAIR,8,Q3,1.0000,-0.38
FAIR,8,Q6,1.0000,34.24
FAIR,8,Q12,1.0000,9.36
FAIR,8,Q14,1.0000,38.97
FAIR,8,Q18,1.0000,6.84
FAIR,9,Q1,1.0000,-0.83
FAIR,9,Q3,1.0000,-15.98
FAIR,9,Q6,1.0000,-17.18
FAIR,9,Q12,1.0000,8.43
FAIR,9,Q14,1.0000,44.26
FAIR,9,Q18,1.0000,9.83
FAIR,10,Q1,1.0000,13.44
FAIR,10,Q3,1.0000,12.45
FAIR,10,Q6,1.0000,-1.16
FAIR,10,Q12,1.0000,23.99
FAIR,10,Q14,1.0000,15.22
FAIR,10,Q18,1.0000,17.91
FAIR,11,Q1,1.0000,8.69
FAIR,11,Q3,1.0000,-3.81
FAIR,11,Q6,1.0000,26.59
FAIR,11,Q12,1.0000,2.30
FAIR,11,Q14,1.0000,32.62
FAIR,11,Q18,1.0000,7.12
FAIR,12,Q1,1.0000,10.71
FAIR,12,Q3,1.0000,18.39
FAIR,12,Q6,1.0000,17.08
FAIR,12,Q12,1.0000,17.36
FAIR,12,Q14,1.0000,22.99
FAIR,12,Q18,1.0000,10.28
FAIR,13,Q1,1.0000,14.85
FAIR,13,Q3,1.0000,9.99
FAIR,13,Q6,1.0000,13.52
FAIR,13,Q12,1.0000,10.25
FAIR,13,Q14,1.0000,16.93
FAIR,13,Q18,1.0000,2.36
FAIR,14,Q1,1.0000,-18.46
FAIR,14,Q3,1.0000,-4.02
FAIR,14,Q6,1.0000,33.05
FAIR,14,Q12,1.0000,7.66
FAIR,14,Q14,1.0000,8.46
FAIR,14,Q18,1.0000,24.29
FAIR,15,Q1,1.0000,15.83
FAIR,15,Q3,1.0000,9.94
FAIR,15,Q6,1.0000,21.53
FAIR,15,Q12,1.0000,-2.90
FAIR,15,Q14,1.0000,15.41
FAIR,15,Q18,1.0000,18.43
FAIR,16,Q1,1.0000,16.53
FAIR,16,Q3,1.0000,14.83
FAIR,16,Q6,1.0000,21.83
FAIR,16,Q12,1.0000,-2.61
FAIR,16,Q14,1.0000,22.31
FAIR,16,Q18,1.0000,9.30
FAIR,17,Q1,1.0000,8.30
FAIR,17,Q3,1.0000,11.45
FAIR,17,Q6,1.0000,25.46
FAIR,17,Q12,1.0000,-1.98
FAIR,17,Q14,1.0000,8.12
FAIR,17,Q18,1.0000,13.92
FAIR,18,Q1,1.0000,20.15
FAIR,18,Q3,1.0000,-3.97
FAIR,18,Q6,1.0000,11.93
FAIR,18,Q12,1.0000,25.11
FAIR,18,Q14,1.0000,2.70
FAIR,18,Q18,1.0000,17.83
FAIR,19,Q1,1.0000,11.21
FAIR,19,Q3,1.0000,-1.81
FAIR,19,Q6,1.0000,9.17
FAIR,19,Q12,1.0000,23.64
FAIR,19,Q14,1.0000,-3.00
FAIR,19,Q18,1.0000,17.45
FAIR,20,Q1,1.0000,12.24
FAIR,20,Q3,1.0000,4.69
FAIR,20,Q6,1.0000,32.33
FAIR,20,Q12,1.0000,13.90
FAIR,20,Q14,1.0000,-3.50
FAIR,20,Q18,1.0000,17.75
FAIR,21,Q1,1.0000,11.28
FAIR,21,Q3,1.0000,9.33
FAIR,21,Q6,1.0000,31.15
FAIR,21,Q12,1.0000,4.89
FAIR,21,Q14,1.0000,6.74
FAIR,21,Q18,1.0000,16.66
