scheduler_mode,repetition,run_type,query,job_id,spark_start_time,spark_end_time,spark_duration_ms,compaction_start_time,compaction_end_time,overlap_ms,overlap_pct,num_tasks,sum_task_duration_ms,avg_task_duration_ms
FAIR,15,concurrent,Q1,803,1788179977946,1788179978003,57,1788179970960,1788179990333,57,1.0000,1,55,55.00
FAIR,15,concurrent,Q3,804,1788179978099,1788179978243,144,1788179970960,1788179990333,144,1.0000,17,1408,82.82
FAIR,15,concurrent,Q3,805,1788179980023,1788179980302,279,1788179970960,1788179990333,279,1.0000,7,1671,238.71
FAIR,15,concurrent,Q6,806,1788179980310,1788179980314,4,1788179970960,1788179990333,4,1.0000,1,2,2.00
FAIR,15,concurrent,Q6,807,1788179981931,1788179982487,556,1788179970960,1788179990333,556,1.0000,1,553,553.00
FAIR,15,concurrent,Q6,808,1788179981935,1788179982249,314,1788179970960,1788179990333,314,1.0000,7,1926,275.14
FAIR,15,concurrent,Q6,809,1788179982258,1788179982272,14,1788179970960,1788179990333,14,1.0000,1,12,12.00
FAIR,15,concurrent,Q12,810,1788179982502,1788179982560,58,1788179970960,1788179990333,58,1.0000,14,668,47.71
FAIR,15,concurrent,Q12,811,1788179982575,1788179982582,7,1788179970960,1788179990333,7,1.0000,1,5,5.00
FAIR,15,concurrent,Q12,812,1788179982583,1788179982592,9,1788179970960,1788179990333,9,1.0000,1,5,5.00
FAIR,15,concurrent,Q12,813,1788179982601,1788179982607,6,1788179970960,1788179990333,6,1.0000,1,3,3.00
FAIR,15,concurrent,Q12,814,1788179984166,1788179984237,71,1788179970960,1788179990333,71,1.0000,1,68,68.00
FAIR,15,concurrent,Q12,815,1788179984351,1788179984651,300,1788179970960,1788179990333,300,1.0000,7,1858,265.43
FAIR,15,concurrent,Q14,816,1788179984659,1788179984663,4,1788179970960,1788179990333,4,1.0000,1,2,2.00
FAIR,15,concurrent,Q14,817,1788179986705,1788179987980,1275,1788179970960,1788179990333,1275,1.0000,1,1271,1271.00
FAIR,15,concurrent,Q14,818,1788179986712,1788179986842,130,1788179970960,1788179990333,130,1.0000,1,127,127.00
FAIR,15,concurrent,Q18,819,1788179986714,1788179988450,1736,1788179970960,1788179990333,1736,1.0000,7,10930,1561.43
FAIR,15,concurrent,Q18,820,1788179986717,1788179987829,1112,1788179970960,1788179990333,1112,1.0000,7,6440,920.00
FAIR,15,concurrent,Q18,821,1788179988510,1788179989866,1356,1788179970960,1788179990333,1356,1.0000,17,17055,1003.24
FAIR,15,baseline,Q1,822,1788180020454,1788180022992,2538,,,0.0,0.0000,7,15702,2243.14
FAIR,15,baseline,Q1,823,1788180023024,1788180023046,22,,,0.0,0.0000,1,7,7.00
FAIR,15,baseline,Q1,824,1788180023047,1788180023060,13,,,0.0,0.0000,1,8,8.00
FAIR,15,baseline,Q1,825,1788180023076,1788180023084,8,,,0.0,0.0000,1,5,5.00
FAIR,15,baseline,Q1,826,1788180024692,1788180025121,429,,,0.0,0.0000,7,2654,379.14
FAIR,15,baseline,Q1,827,1788180024696,1788180024742,46,,,0.0,0.0000,1,43,43.00
FAIR,15,baseline,Q1,828,1788180024774,1788180025049,275,,,0.0,0.0000,1,272,272.00
FAIR,15,baseline,Q1,829,1788180025060,1788180025101,41,,,0.0,0.0000,1,40,40.00
FAIR,15,baseline,Q3,830,1788180025176,1788180025270,94,,,0.0,0.0000,17,1145,67.35
FAIR,15,baseline,Q3,831,1788180026709,1788180026950,241,,,0.0,0.0000,7,1450,207.14
FAIR,15,baseline,Q3,832,1788180026957,1788180026960,3,,,0.0,0.0000,1,2,2.00
FAIR,15,baseline,Q6,833,1788180028435,1788180029228,793,,,0.0,0.0000,1,790,790.00
FAIR,15,baseline,Q6,834,1788180028440,1788180029207,767,,,0.0,0.0000,7,4784,683.43
FAIR,15,baseline,Q12,835,1788180029217,1788180029231,14,,,0.0,0.0000,1,12,12.00
FAIR,15,baseline,Q12,836,1788180029256,1788180029296,40,,,0.0,0.0000,14,490,35.00
FAIR,15,baseline,Q12,837,1788180029310,1788180029317,7,,,0.0,0.0000,1,5,5.00
FAIR,15,baseline,Q12,838,1788180029318,1788180029325,7,,,0.0,0.0000,1,4,4.00
FAIR,15,baseline,Q12,839,1788180029339,1788180029345,6,,,0.0,0.0000,1,3,3.00
FAIR,15,baseline,Q12,840,1788180030786,1788180030843,57,,,0.0,0.0000,1,56,56.00
FAIR,15,baseline,Q12,841,1788180030906,1788180031113,207,,,0.0,0.0000,7,1253,179.00
FAIR,15,baseline,Q12,842,1788180031120,1788180031124,4,,,0.0,0.0000,1,1,1.00
FAIR,15,baseline,Q14,843,1788180032606,1788180033805,1199,,,0.0,0.0000,1,1196,1196.00
FAIR,15,baseline,Q14,844,1788180032623,1788180032749,126,,,0.0,0.0000,1,124,124.00
FAIR,15,baseline,Q14,845,1788180032625,1788180034104,1479,,,0.0,0.0000,7,9321,1331.57
FAIR,15,baseline,Q14,846,1788180032628,1788180033573,945,,,0.0,0.0000,7,5823,831.86
FAIR,15,baseline,Q18,847,1788180034149,1788180035506,1357,,,0.0,0.0000,17,20103,1182.53
FAIR,16,baseline,Q1,848,1788180064835,1788180067907,3072,,,0.0,0.0000,7,19128,2732.57
FAIR,16,baseline,Q1,849,1788180067941,1788180067957,16,,,0.0,0.0000,1,7,7.00
FAIR,16,baseline,Q1,850,1788180067958,1788180067970,12,,,0.0,0.0000,1,7,7.00
FAIR,16,baseline,Q1,851,1788180067983,1788180067993,10,,,0.0,0.0000,1,6,6.00
FAIR,16,baseline,Q1,852,1788180069443,1788180069956,513,,,0.0,0.0000,7,3143,449.00
FAIR,16,baseline,Q1,853,1788180069447,1788180069509,62,,,0.0,0.0000,1,61,61.00
FAIR,16,baseline,Q1,854,1788180069536,1788180069783,247,,,0.0,0.0000,1,244,244.00
FAIR,16,baseline,Q1,855,1788180069794,1788180069882,88,,,0.0,0.0000,1,54,54.00
FAIR,16,baseline,Q1,856,1788180069991,1788180070154,163,,,0.0,0.0000,17,1813,106.65
FAIR,16,baseline,Q3,857,1788180071607,1788180071886,279,,,0.0,0.0000,7,1671,238.71
FAIR,16,baseline,Q3,858,1788180071893,1788180071907,14,,,0.0,0.0000,1,2,2.00
FAIR,16,baseline,Q6,859,1788180073526,1788180074114,588,,,0.0,0.0000,1,586,586.00
FAIR,16,baseline,Q6,860,1788180073530,1788180073860,330,,,0.0,0.0000,7,2057,293.86
FAIR,16,baseline,Q6,861,1788180073873,1788180073912,39,,,0.0,0.0000,1,15,15.00
FAIR,16,baseline,Q12,862,1788180074132,1788180074190,58,,,0.0,0.0000,14,564,40.29
FAIR,16,baseline,Q12,863,1788180074227,1788180074235,8,,,0.0,0.0000,1,5,5.00
FAIR,16,baseline,Q12,864,1788180074236,1788180074245,9,,,0.0,0.0000,1,5,5.00
FAIR,16,baseline,Q12,865,1788180074259,1788180074265,6,,,0.0,0.0000,1,4,4.00
FAIR,16,baseline,Q12,866,1788180075756,1788180075857,101,,,0.0,0.0000,1,98,98.00
FAIR,16,baseline,Q12,867,1788180075946,1788180076166,220,,,0.0,0.0000,7,1323,189.00
FAIR,16,baseline,Q12,868,1788180076174,1788180076189,15,,,0.0,0.0000,1,2,2.00
FAIR,16,baseline,Q14,869,1788180077730,1788180079181,1451,,,0.0,0.0000,1,1447,1447.00
FAIR,16,baseline,Q14,870,1788180077734,1788180077926,192,,,0.0,0.0000,1,185,185.00
FAIR,16,baseline,Q14,871,1788180077741,1788180079738,1997,,,0.0,0.0000,7,12514,1787.71
FAIR,16,baseline,Q14,872,1788180077746,1788180079114,1368,,,0.0,0.0000,7,7975,1139.29
FAIR,16,baseline,Q18,873,1788180079780,1788180081094,1314,,,0.0,0.0000,17,19759,1162.29
FAIR,16,concurrent,compaction,874,1788180110020,1788180130701,20681,1788180110020,1788180130701,20681,1.0000,1,20679,20679.00
FAIR,16,concurrent,Q1,875,1788180111918,1788180115316,3398,1788180110020,1788180130701,3398,1.0000,7,20573,2939.00
FAIR,16,concurrent,Q1,876,1788180115379,1788180115389,10,1788180110020,1788180130701,10,1.0000,1,7,7.00
FAIR,16,concurrent,Q1,877,1788180115391,1788180115402,11,1788180110020,1788180130701,11,1.0000,1,7,7.00
FAIR,16,concurrent,Q1,878,1788180115417,1788180115431,14,1788180110020,1788180130701,14,1.0000,1,4,4.00
FAIR,16,concurrent,Q1,879,1788180117053,1788180117679,626,1788180110020,1788180130701,626,1.0000,7,3825,546.43
FAIR,16,concurrent,Q1,880,1788180117057,1788180117119,62,1788180110020,1788180130701,62,1.0000,1,59,59.00
FAIR,16,concurrent,Q1,881,1788180117176,1788180117500,324,1788180110020,1788180130701,324,1.0000,1,320,320.00
FAIR,16,concurrent,Q3,882,1788180117512,1788180117580,68,1788180110020,1788180130701,68,1.0000,1,58,58.00
FAIR,16,concurrent,Q3,883,1788180117738,1788180117887,149,1788180110020,1788180130701,149,1.0000,17,1587,93.35
FAIR,16,concurrent,Q3,884,1788180119751,1788180120024,273,1788180110020,1788180130701,273,1.0000,7,1647,235.29
FAIR,16,concurrent,Q6,885,1788180120032,1788180120037,5,1788180110020,1788180130701,5,1.0000,1,3,3.00
FAIR,16,concurrent,Q6,886,1788180121636,1788180122171,535,1788180110020,1788180130701,535,1.0000,1,532,532.00
FAIR,16,concurrent,Q6,887,1788180121641,1788180121975,334,1788180110020,1788180130701,334,1.0000,7,2059,294.14
FAIR,16,concurrent,Q6,888,1788180121984,1788180121998,14,1788180110020,1788180130701,14,1.0000,1,12,12.00
FAIR,16,concurrent,Q12,889,1788180122200,1788180122267,67,1788180110020,1788180130701,67,1.0000,14,658,47.00
FAIR,16,concurrent,Q12,890,1788180122305,1788180122313,8,1788180110020,1788180130701,8,1.0000,1,5,5.00
FAIR,16,concurrent,Q12,891,1788180122314,1788180122323,9,1788180110020,1788180130701,9,1.0000,1,5,5.00
FAIR,16,concurrent,Q12,892,1788180122340,1788180122347,7,1788180110020,1788180130701,7,1.0000,1,3,3.00
FAIR,16,concurrent,Q12,893,1788180124039,1788180124192,153,1788180110020,1788180130701,153,1.0000,1,152,152.00
FAIR,16,concurrent,Q12,894,1788180124263,1788180124670,407,1788180110020,1788180130701,407,1.0000,7,2498,356.86
FAIR,16,concurrent,Q14,895,1788180124681,1788180124687,6,1788180110020,1788180130701,6,1.0000,1,2,2.00
FAIR,16,concurrent,Q14,896,1788180126430,1788180127840,1410,1788180110020,1788180130701,1410,1.0000,1,1406,1406.00
FAIR,16,concurrent,Q14,897,1788180126434,1788180126702,268,1788180110020,1788180130701,268,1.0000,1,238,238.00
FAIR,16,concurrent,Q14,898,1788180126442,1788180128337,1895,1788180110020,1788180130701,1895,1.0000,7,11813,1687.57
FAIR,16,concurrent,Q14,899,1788180126446,1788180127705,1259,1788180110020,1788180130701,1259,1.0000,7,7703,1100.43
FAIR,16,concurrent,Q18,900,1788180128390,1788180130017,1627,1788180110020,1788180130701,1627,1.0000,17,19731,1160.65
FAIR,17,concurrent,compaction,901,1788180159582,1788180179061,19479,1788180159582,1788180179061,19479,1.0000,1,19476,19476.00
FAIR,17,concurrent,Q1,902,1788180161242,1788180164251,3009,1788180159582,1788180179061,3009,1.0000,7,18445,2635.00
FAIR,17,concurrent,Q1,903,1788180164291,1788180164312,21,1788180159582,1788180179061,21,1.0000,1,17,17.00
FAIR,17,concurrent,Q1,904,1788180164314,1788180164324,10,1788180159582,1788180179061,10,1.0000,1,6,6.00
FAIR,17,concurrent,Q1,905,1788180164336,1788180164342,6,1788180159582,1788180179061,6,1.0000,1,4,4.00
FAIR,17,concurrent,Q1,906,1788180165940,1788180166486,546,1788180159582,1788180179061,546,1.0000,7,3320,474.29
