chronological_index,repetition_cycle,repetition_type,phase_index,phase_position,state,query,statement_id,status,duration_seconds
169,9,MEASURED,28,1,compacted,Q3,query3_compacted.sql_0,SUCCESS,1.00728
170,9,MEASURED,28,1,compacted,Q6,query6_compacted.sql_0,SUCCESS,0.293821
171,9,MEASURED,28,1,compacted,Q12,query12_compacted.sql_0,SUCCESS,0.578254
172,9,MEASURED,28,1,compacted,Q14,query14_compacted.sql_0,SUCCESS,0.417214
173,9,MEASURED,28,1,compacted,Q18,query18_compacted.sql_0,SUCCESS,3.239948
174,9,MEASURED,29,2,control,Q1,query1_control.sql_0,SUCCESS,6.553754
175,9,MEASURED,29,2,control,Q3,query3_control.sql_0,SUCCESS,1.121297
176,9,MEASURED,29,2,control,Q6,query6_control.sql_0,SUCCESS,0.38102
177,9,MEASURED,29,2,control,Q12,query12_control.sql_0,SUCCESS,0.641299
178,9,MEASURED,29,2,control,Q14,query14_control.sql_0,SUCCESS,0.48431
179,9,MEASURED,29,2,control,Q18,query18_control.sql_0,SUCCESS,2.449072
180,10,MEASURED,30,0,compacted,Q1,query1_compacted.sql_0,SUCCESS,5.30971
181,10,MEASURED,30,0,compacted,Q3,query3_compacted.sql_0,SUCCESS,1.038337
182,10,MEASURED,30,0,compacted,Q6,query6_compacted.sql_0,SUCCESS,0.292025
183,10,MEASURED,30,0,compacted,Q12,query12_compacted.sql_0,SUCCESS,0.565995
184,10,MEASURED,30,0,compacted,Q14,query14_compacted.sql_0,SUCCESS,0.43534
185,10,MEASURED,30,0,compacted,Q18,query18_compacted.sql_0,SUCCESS,3.209312
186,10,MEASURED,31,1,control,Q1,query1_control.sql_0,SUCCESS,6.544558
187,10,MEASURED,31,1,control,Q3,query3_control.sql_0,SUCCESS,1.133153
188,10,MEASURED,31,1,control,Q6,query6_control.sql_0,SUCCESS,0.386226
189,10,MEASURED,31,1,control,Q12,query12_control.sql_0,SUCCESS,0.667655
190,10,MEASURED,31,1,control,Q14,query14_control.sql_0,SUCCESS,0.475972
191,10,MEASURED,31,1,control,Q18,query18_control.sql_0,SUCCESS,2.421585
192,10,MEASURED,32,2,fragmented,Q1,query1_fragmented.sql_0,SUCCESS,2.637621
193,10,MEASURED,32,2,fragmented,Q3,query3_fragmented.sql_0,SUCCESS,0.681422
194,10,MEASURED,32,2,fragmented,Q6,query6_fragmented.sql_0,SUCCESS,0.278471
195,10,MEASURED,32,2,fragmented,Q12,query12_fragmented.sql_0,SUCCESS,0.650116
196,10,MEASURED,32,2,fragmented,Q14,query14_fragmented.sql_0,SUCCESS,0.406601
197,10,MEASURED,32,2,fragmented,Q18,query18_fragmented.sql_0,SUCCESS,2.802897
198,11,MEASURED,33,0,compacted,Q1,query1_compacted.sql_0,SUCCESS,5.361643
199,11,MEASURED,33,0,compacted,Q3,query3_compacted.sql_0,SUCCESS,0.961235
200,11,MEASURED,33,0,compacted,Q6,query6_compacted.sql_0,SUCCESS,0.302096
201,11,MEASURED,33,0,compacted,Q12,query12_compacted.sql_0,SUCCESS,0.567594
202,11,MEASURED,33,0,compacted,Q14,query14_compacted.sql_0,SUCCESS,0.433408
203,11,MEASURED,33,0,compacted,Q18,query18_compacted.sql_0,SUCCESS,3.226343
204,11,MEASURED,34,1,fragmented,Q1,query1_fragmented.sql_0,SUCCESS,2.668088
205,11,MEASURED,34,1,fragmented,Q3,query3_fragmented.sql_0,SUCCESS,0.688476
206,11,MEASURED,34,1,fragmented,Q6,query6_fragmented.sql_0,SUCCESS,0.298779
207,11,MEASURED,34,1,fragmented,Q12,query12_fragmented.sql_0,SUCCESS,0.647072
208,11,MEASURED,34,1,fragmented,Q14,query14_fragmented.sql_0,SUCCESS,0.409997
209,11,MEASURED,34,1,fragmented,Q18,query18_fragmented.sql_0,SUCCESS,2.772496
210,11,MEASURED,35,2,control,Q1,query1_control.sql_0,SUCCESS,6.645037
211,11,MEASURED,35,2,control,Q3,query3_control.sql_0,SUCCESS,1.097362
212,11,MEASURED,35,2,control,Q6,query6_control.sql_0,SUCCESS,0.371657
213,11,MEASURED,35,2,control,Q12,query12_control.sql_0,SUCCESS,0.622086
214,11,MEASURED,35,2,control,Q14,query14_control.sql_0,SUCCESS,0.499489
215,11,MEASURED,35,2,control,Q18,query18_control.sql_0,SUCCESS,2.470233
216,12,MEASURED,36,0,control,Q1,query1_control.sql_0,SUCCESS,6.612258
217,12,MEASURED,36,0,control,Q3,query3_control.sql_0,SUCCESS,1.098735
218,12,MEASURED,36,0,control,Q6,query6_control.sql_0,SUCCESS,0.377117
219,12,MEASURED,36,0,control,Q12,query12_control.sql_0,SUCCESS,0.63542
220,12,MEASURED,36,0,control,Q14,query14_control.sql_0,SUCCESS,0.477653
221,12,MEASURED,36,0,control,Q18,query18_control.sql_0,SUCCESS,2.411928
222,12,MEASURED,37,1,fragmented,Q1,query1_fragmented.sql_0,SUCCESS,2.63476
223,12,MEASURED,37,1,fragmented,Q3,query3_fragmented.sql_0,SUCCESS,0.667705
224,12,MEASURED,37,1,fragmented,Q6,query6_fragmented.sql_0,SUCCESS,0.28696
225,12,MEASURED,37,1,fragmented,Q12,query12_fragmented.sql_0,SUCCESS,0.599032
226,12,MEASURED,37,1,fragmented,Q14,query14_fragmented.sql_0,SUCCESS,0.429061
227,12,MEASURED,37,1,fragmented,Q18,query18_fragmented.sql_0,SUCCESS,2.854548
228,12,MEASURED,38,2,compacted,Q1,query1_compacted.sql_0,SUCCESS,5.245577
229,12,MEASURED,38,2,compacted,Q3,query3_compacted.sql_0,SUCCESS,0.956468
230,12,MEASURED,38,2,compacted,Q6,query6_compacted.sql_0,SUCCESS,0.299746
231,12,MEASURED,38,2,compacted,Q12,query12_compacted.sql_0,SUCCESS,0.590233
232,12,MEASURED,38,2,compacted,Q14,query14_compacted.sql_0,SUCCESS,0.407454
233,12,MEASURED,38,2,compacted,Q18,query18_compacted.sql_0,SUCCESS,3.203671
234,13,MEASURED,39,0,control,Q1,query1_control.sql_0,SUCCESS,6.685158
235,13,MEASURED,39,0,control,Q3,query3_control.sql_0,SUCCESS,1.129018
236,13,MEASURED,39,0,control,Q6,query6_control.sql_0,SUCCESS,0.384293
237,13,MEASURED,39,0,control,Q12,query12_control.sql_0,SUCCESS,0.627921
238,13,MEASURED,39,0,control,Q14,query14_control.sql_0,SUCCESS,0.496625
239,13,MEASURED,39,0,control,Q18,query18_control.sql_0,SUCCESS,2.504182
240,13,MEASURED,40,1,compacted,Q1,query1_compacted.sql_0,SUCCESS,5.47689
241,13,MEASURED,40,1,compacted,Q3,query3_compacted.sql_0,SUCCESS,0.933905
242,13,MEASURED,40,1,compacted,Q6,query6_compacted.sql_0,SUCCESS,0.292901
243,13,MEASURED,40,1,compacted,Q12,query12_compacted.sql_0,SUCCESS,0.552877
244,13,MEASURED,40,1,compacted,Q14,query14_compacted.sql_0,SUCCESS,0.450599
245,13,MEASURED,40,1,compacted,Q18,query18_compacted.sql_0,SUCCESS,3.18485
246,13,MEASURED,41,2,fragmented,Q1,query1_fragmented.sql_0,SUCCESS,2.688545
247,13,MEASURED,41,2,fragmented,Q3,query3_fragmented.sql_0,SUCCESS,0.729526
248,13,MEASURED,41,2,fragmented,Q6,query6_fragmented.sql_0,SUCCESS,0.276894
249,13,MEASURED,41,2,fragmented,Q12,query12_fragmented.sql_0,SUCCESS,0.6418
250,13,MEASURED,41,2,fragmented,Q14,query14_fragmented.sql_0,SUCCESS,0.412906
251,13,MEASURED,41,2,fragmented,Q18,query18_fragmented.sql_0,SUCCESS,2.6528
