dataset_scope,policy_name,sla_threshold_pct,total_observations,maintenance_completion_rate_pct,maintenance_deferral_rate_pct,mean_qir_pct,median_qir_pct,p95_qir_pct,max_qir_pct,sla_violation_rate_pct,sla_protection_rate_pct,max_consecutive_deferrals,mean_deferral_streak,number_of_starvation_events,variant_type,is_pareto_optimal,max_deferrals_bound,forced_runs_pct
In-Distribution,Standard Conformal Policy (alpha=0.05),7.5,168,4.17,95.83,0.14,0.0,0.0,8.63,0.6,99.4,86,80.5,2,Threshold Sweep (7.5%),False,N/A,N/A
In-Distribution,Standard Conformal Policy (alpha=0.05),10.0,168,10.12,89.88,0.54,0.0,4.37,19.31,1.79,98.21,56,25.17,4,Threshold Sweep (10.0%),False,N/A,N/A
In-Distribution,Standard Conformal Policy (alpha=0.05),12.5,168,63.1,36.9,1.33,0.0,9.01,19.31,2.98,97.02,12,2.0,3,Threshold Sweep (12.5%),False,N/A,N/A
In-Distribution,Standard Conformal Policy (alpha=0.05),15.0,168,83.93,16.07,2.59,1.09,15.04,35.05,5.36,94.64,12,1.93,1,Threshold Sweep (15.0%),False,N/A,N/A
In-Distribution,Standard Conformal Policy (alpha=0.05),20.0,168,92.86,7.14,3.02,1.81,15.04,35.05,1.19,98.81,5,4.0,2,Threshold Sweep (20.0%),False,N/A,N/A
In-Distribution,Adaptive Conformal Policy (alpha=0.10),5.0,168,6.55,93.45,0.38,0.0,0.57,19.31,3.57,96.43,86,52.33,3,Threshold Sweep (5.0%),False,N/A,N/A
In-Distribution,Adaptive Conformal Policy (alpha=0.10),7.5,168,58.33,41.67,1.25,0.0,9.01,19.31,10.12,89.88,12,2.33,4,Threshold Sweep (7.5%),False,N/A,N/A
In-Distribution,Adaptive Conformal Policy (alpha=0.10),10.0,168,82.14,17.86,2.61,1.0,15.04,35.05,8.93,91.07,12,1.88,1,Threshold Sweep (10.0%),False,N/A,N/A
In-Distribution,Adaptive Conformal Policy (alpha=0.10),12.5,168,89.29,10.71,2.9,1.52,15.04,35.05,7.74,92.26,12,3.6,1,Threshold Sweep (12.5%),False,N/A,N/A
In-Distribution,Adaptive Conformal Policy (alpha=0.10),15.0,168,91.67,8.33,3.05,1.81,15.04,35.05,5.36,94.64,12,7.0,1,Threshold Sweep (15.0%),False,N/A,N/A
In-Distribution,Adaptive Conformal Policy (alpha=0.10),20.0,168,100.0,0.0,3.64,2.63,15.5,35.05,2.38,97.62,0,0.0,0,Threshold Sweep (20.0%),True,N/A,N/A
Out-Of-Distribution,Point Prediction Policy,5.0,80,57.5,42.5,1.27,0.0,18.07,31.81,18.75,81.25,9,2.0,2,Threshold Sweep (5.0%),False,N/A,N/A
Out-Of-Distribution,Point Prediction Policy,7.5,80,97.5,2.5,5.4,5.74,19.9,31.81,43.75,56.25,1,1.0,0,Threshold Sweep (7.5%),False,N/A,N/A
Out-Of-Distribution,Point Prediction Policy,10.0,80,97.5,2.5,5.4,5.74,19.9,31.81,32.5,67.5,1,1.0,0,Threshold Sweep (10.0%),False,N/A,N/A
Out-Of-Distribution,Point Prediction Policy,12.5,80,97.5,2.5,5.4,5.74,19.9,31.81,21.25,78.75,1,1.0,0,Threshold Sweep (12.5%),False,N/A,N/A
Out-Of-Distribution,Point Prediction Policy,15.0,80,97.5,2.5,5.4,5.74,19.9,31.81,12.5,87.5,1,1.0,0,Threshold Sweep (15.0%),False,N/A,N/A
Out-Of-Distribution,Point Prediction Policy,20.0,80,100.0,0.0,5.38,5.91,19.9,31.81,3.75,96.25,0,0.0,0,Threshold Sweep (20.0%),True,N/A,N/A
Out-Of-Distribution,Raw Quantile Policy (q=0.95),5.0,80,17.5,82.5,-0.77,0.0,3.29,11.17,3.75,96.25,10,4.4,11,Threshold Sweep (5.0%),False,N/A,N/A
Out-Of-Distribution,Raw Quantile Policy (q=0.95),7.5,80,37.5,62.5,0.28,0.0,13.17,31.81,8.75,91.25,9,2.27,4,Threshold Sweep (7.5%),False,N/A,N/A
Out-Of-Distribution,Raw Quantile Policy (q=0.95),10.0,80,57.5,42.5,1.27,0.0,18.07,31.81,12.5,87.5,9,2.0,2,Threshold Sweep (10.0%),False,N/A,N/A
Out-Of-Distribution,Raw Quantile Policy (q=0.95),12.5,80,97.5,2.5,5.4,5.74,19.9,31.81,21.25,78.75,1,1.0,0,Threshold Sweep (12.5%),False,N/A,N/A
Out-Of-Distribution,Raw Quantile Policy (q=0.95),15.0,80,97.5,2.5,5.4,5.74,19.9,31.81,12.5,87.5,1,1.0,0,Threshold Sweep (15.0%),False,N/A,N/A
Out-Of-Distribution,Raw Quantile Policy (q=0.95),20.0,80,97.5,2.5,5.4,5.74,19.9,31.81,3.75,96.25,1,1.0,0,Threshold Sweep (20.0%),False,N/A,N/A
Out-Of-Distribution,Standard Conformal Policy (alpha=0.05),5.0,80,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,80,80.0,1,Threshold Sweep (5.0%),True,N/A,N/A
Out-Of-Distribution,Standard Conformal Policy (alpha=0.05),7.5,80,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,80,80.0,1,Threshold Sweep (7.5%),True,N/A,N/A
Out-Of-Distribution,Standard Conformal Policy (alpha=0.05),10.0,80,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,80,80.0,1,Threshold Sweep (10.0%),True,N/A,N/A
Out-Of-Distribution,Standard Conformal Policy (alpha=0.05),12.5,80,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,80,80.0,1,Threshold Sweep (12.5%),True,N/A,N/A
Out-Of-Distribution,Standard Conformal Policy (alpha=0.05),15.0,80,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,80,80.0,1,Threshold Sweep (15.0%),True,N/A,N/A
Out-Of-Distribution,Standard Conformal Policy (alpha=0.05),20.0,80,37.5,62.5,0.28,0.0,13.17,31.81,1.25,98.75,9,2.27,4,Threshold Sweep (20.0%),True,N/A,N/A
Out-Of-Distribution,Adaptive Conformal Policy (alpha=0.10),5.0,80,17.5,82.5,-0.77,0.0,3.29,11.17,3.75,96.25,10,4.4,11,Threshold Sweep (5.0%),False,N/A,N/A
Out-Of-Distribution,Adaptive Conformal Policy (alpha=0.10),7.5,80,37.5,62.5,0.28,0.0,13.17,31.81,8.75,91.25,9,2.27,4,Threshold Sweep (7.5%),False,N/A,N/A
Out-Of-Distribution,Adaptive Conformal Policy (alpha=0.10),10.0,80,57.5,42.5,1.27,0.0,18.07,31.81,12.5,87.5,9,2.0,2,Threshold Sweep (10.0%),False,N/A,N/A
Out-Of-Distribution,Adaptive Conformal Policy (alpha=0.10),12.5,80,97.5,2.5,5.4,5.74,19.9,31.81,21.25,78.75,1,1.0,0,Threshold Sweep (12.5%),False,N/A,N/A
Out-Of-Distribution,Adaptive Conformal Policy (alpha=0.10),15.0,80,97.5,2.5,5.4,5.74,19.9,31.81,12.5,87.5,1,1.0,0,Threshold Sweep (15.0%),False,N/A,N/A
Out-Of-Distribution,Adaptive Conformal Policy (alpha=0.10),20.0,80,97.5,2.5,5.4,5.74,19.9,31.81,3.75,96.25,1,1.0,0,Threshold Sweep (20.0%),False,N/A,N/A
In-Distribution,Policy B: Always Defer,N/A,168,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,168,168.0,1,Starvation Protection (MaxDef=0),True,0,0.0
In-Distribution,Policy B: Always Defer,N/A,168,50.0,50.0,1.53,0.0,11.67,19.31,7.14,92.86,1,1.0,0,Starvation Protection (MaxDef=1),False,1,50.0
In-Distribution,Policy B: Always Defer,N/A,168,33.33,66.67,0.8,0.0,7.38,13.71,2.38,97.62,2,2.0,0,Starvation Protection (MaxDef=2),False,2,33.33
In-Distribution,Policy B: Always Defer,N/A,168,25.0,75.0,0.86,0.0,8.78,19.31,4.17,95.83,3,3.0,42,Starvation Protection (MaxDef=3),False,3,25.0
In-Distribution,Policy B: Always Defer,N/A,168,16.67,83.33,0.3,0.0,4.12,13.71,1.79,98.21,5,5.0,28,Starvation Protection (MaxDef=5),False,5,16.67
In-Distribution,Policy C: Resource Heuristic,N/A,168,66.67,33.33,2.05,0.0,11.67,24.27,5.95,94.05,12,5.09,7,Starvation Protection (MaxDef=0),False,0,0.0
In-Distribution,Policy C: Resource Heuristic,N/A,168,81.55,18.45,2.67,1.17,13.5,24.27,9.52,90.48,1,1.0,0,Starvation Protection (MaxDef=1),False,1,14.88
In-Distribution,Policy C: Resource Heuristic,N/A,168,76.19,23.81,2.46,0.68,13.28,33.4,7.74,92.26,2,1.82,0,Starvation Protection (MaxDef=2),False,2,9.52
In-Distribution,Policy C: Resource Heuristic,N/A,168,72.02,27.98,2.18,0.13,13.01,24.27,7.74,92.26,3,2.47,12,Starvation Protection (MaxDef=3),False,3,5.36
In-Distribution,Policy C: Resource Heuristic,N/A,168,70.83,29.17,2.09,0.13,11.67,24.27,5.95,94.05,5,3.27,9,Starvation Protection (MaxDef=5),False,5,4.17
In-Distribution,Policy D: Point Prediction Policy,N/A,168,91.67,8.33,3.05,1.81,15.04,35.05,10.71,89.29,12,7.0,1,Starvation Protection (MaxDef=0),False,0,0.0
In-Distribution,Policy D: Point Prediction Policy,N/A,168,95.83,4.17,3.27,2.26,15.21,35.05,12.5,87.5,1,1.0,0,Starvation Protection (MaxDef=1),False,1,4.17
In-Distribution,Policy D: Point Prediction Policy,N/A,168,94.05,5.95,3.2,1.94,15.21,35.05,11.31,88.69,2,2.0,0,Starvation Protection (MaxDef=2),False,2,2.38
In-Distribution,Policy D: Point Prediction Policy,N/A,168,93.45,6.55,3.06,1.94,15.04,35.05,11.31,88.69,3,2.75,3,Starvation Protection (MaxDef=3),False,3,1.79
In-Distribution,Policy D: Point Prediction Policy,N/A,168,92.86,7.14,3.02,1.81,15.04,35.05,10.71,89.29,5,4.0,2,Starvation Protection (MaxDef=5),False,5,1.19
In-Distribution,Policy E: Raw Quantile Policy,N/A,168,30.95,69.05,0.52,0.0,5.75,14.53,1.19,98.81,27,3.05,12,Starvation Protection (MaxDef=0),False,0,0.0
In-Distribution,Policy E: Raw Quantile Policy,N/A,168,58.93,41.07,1.61,0.0,12.59,19.31,7.74,92.26,1,1.0,0,Starvation Protection (MaxDef=1),False,1,27.98
In-Distribution,Policy E: Raw Quantile Policy,N/A,168,45.24,54.76,1.3,0.0,11.35,33.4,5.36,94.64,2,1.61,0,Starvation Protection (MaxDef=2),False,2,14.29
In-Distribution,Policy E: Raw Quantile Policy,N/A,168,39.88,60.12,0.99,0.0,7.81,19.31,3.57,96.43,3,2.1,21,Starvation Protection (MaxDef=3),False,3,8.93
In-Distribution,Policy E: Raw Quantile Policy,N/A,168,35.12,64.88,0.59,0.0,6.33,14.53,1.79,98.21,5,2.48,17,Starvation Protection (MaxDef=5),False,5,4.17
In-Distribution,Policy F: Adaptive Conformal Risk Policy,N/A,168,10.12,89.88,0.54,0.0,4.37,19.31,1.79,98.21,56,25.17,4,Starvation Protection (MaxDef=0),False,0,0.0
In-Distribution,Policy F: Adaptive Conformal Risk Policy,N/A,168,54.17,45.83,2.21,0.0,13.71,24.27,9.52,90.48,1,1.0,0,Starvation Protection (MaxDef=1),False,1,44.05
In-Distribution,Policy F: Adaptive Conformal Risk Policy,N/A,168,38.69,61.31,1.36,0.0,9.44,19.31,4.76,95.24,2,1.94,0,Starvation Protection (MaxDef=2),False,2,28.57
In-Distribution,Policy F: Adaptive Conformal Risk Policy,N/A,168,30.95,69.05,1.45,0.0,13.01,19.31,5.95,94.05,3,2.9,37,Starvation Protection (MaxDef=3),False,3,20.83
In-Distribution,Policy F: Adaptive Conformal Risk Policy,N/A,168,23.81,76.19,1.07,0.0,8.97,19.31,4.17,95.83,5,4.41,25,Starvation Protection (MaxDef=5),False,5,13.69
Out-Of-Distribution,Policy B: Always Defer,N/A,80,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,80,80.0,1,Starvation Protection (MaxDef=0),True,0,0.0
Out-Of-Distribution,Policy B: Always Defer,N/A,80,50.0,50.0,2.61,0.0,16.04,31.81,15.0,85.0,1,1.0,0,Starvation Protection (MaxDef=1),False,1,50.0
Out-Of-Distribution,Policy B: Always Defer,N/A,80,32.5,67.5,2.39,0.0,16.14,31.81,12.5,87.5,2,2.0,0,Starvation Protection (MaxDef=2),False,2,32.5
Out-Of-Distribution,Policy B: Always Defer,N/A,80,25.0,75.0,1.55,0.0,11.17,31.81,6.25,93.75,3,3.0,20,Starvation Protection (MaxDef=3),False,3,25.0
Out-Of-Distribution,Policy B: Always Defer,N/A,80,16.25,83.75,1.24,0.0,13.22,31.81,6.25,93.75,5,4.79,13,Starvation Protection (MaxDef=5),False,5,16.25
Out-Of-Distribution,Policy C: Resource Heuristic,N/A,80,100.0,0.0,5.38,5.91,19.9,31.81,33.75,66.25,0,0.0,0,Starvation Protection (MaxDef=0),False,0,0.0
Out-Of-Distribution,Policy C: Resource Heuristic,N/A,80,100.0,0.0,5.38,5.91,19.9,31.81,33.75,66.25,0,0.0,0,Starvation Protection (MaxDef=1),False,1,0.0
Out-Of-Distribution,Policy C: Resource Heuristic,N/A,80,100.0,0.0,5.38,5.91,19.9,31.81,33.75,66.25,0,0.0,0,Starvation Protection (MaxDef=2),False,2,0.0
Out-Of-Distribution,Policy C: Resource Heuristic,N/A,80,100.0,0.0,5.38,5.91,19.9,31.81,33.75,66.25,0,0.0,0,Starvation Protection (MaxDef=3),False,3,0.0
Out-Of-Distribution,Policy C: Resource Heuristic,N/A,80,100.0,0.0,5.38,5.91,19.9,31.81,33.75,66.25,0,0.0,0,Starvation Protection (MaxDef=5),False,5,0.0
Out-Of-Distribution,Policy D: Point Prediction Policy,N/A,80,97.5,2.5,5.4,5.74,19.9,31.81,32.5,67.5,1,1.0,0,Starvation Protection (MaxDef=0),False,0,0.0
Out-Of-Distribution,Policy D: Point Prediction Policy,N/A,80,97.5,2.5,5.4,5.74,19.9,31.81,32.5,67.5,1,1.0,0,Starvation Protection (MaxDef=1),False,1,0.0
Out-Of-Distribution,Policy D: Point Prediction Policy,N/A,80,97.5,2.5,5.4,5.74,19.9,31.81,32.5,67.5,1,1.0,0,Starvation Protection (MaxDef=2),False,2,0.0
Out-Of-Distribution,Policy D: Point Prediction Policy,N/A,80,97.5,2.5,5.4,5.74,19.9,31.81,32.5,67.5,1,1.0,0,Starvation Protection (MaxDef=3),False,3,0.0
Out-Of-Distribution,Policy D: Point Prediction Policy,N/A,80,97.5,2.5,5.4,5.74,19.9,31.81,32.5,67.5,1,1.0,0,Starvation Protection (MaxDef=5),False,5,0.0
Out-Of-Distribution,Policy E: Raw Quantile Policy,N/A,80,57.5,42.5,1.27,0.0,18.07,31.81,12.5,87.5,9,2.0,2,Starvation Protection (MaxDef=0),False,0,0.0
Out-Of-Distribution,Policy E: Raw Quantile Policy,N/A,80,70.0,30.0,2.17,0.0,19.9,31.81,16.25,83.75,1,1.0,0,Starvation Protection (MaxDef=1),False,1,12.5
Out-Of-Distribution,Policy E: Raw Quantile Policy,N/A,80,63.75,36.25,2.04,0.0,18.07,31.81,17.5,82.5,2,1.38,0,Starvation Protection (MaxDef=2),False,2,6.25
Out-Of-Distribution,Policy E: Raw Quantile Policy,N/A,80,62.5,37.5,1.84,0.0,19.9,31.81,15.0,85.0,3,1.5,4,Starvation Protection (MaxDef=3),False,3,5.0
Out-Of-Distribution,Policy E: Raw Quantile Policy,N/A,80,60.0,40.0,1.54,0.0,18.07,31.81,13.75,86.25,5,1.68,3,Starvation Protection (MaxDef=5),False,5,2.5
Out-Of-Distribution,Policy F: Adaptive Conformal Risk Policy,N/A,80,17.5,82.5,-0.77,0.0,3.29,11.17,1.25,98.75,10,4.4,11,Starvation Protection (MaxDef=0),False,0,0.0
Out-Of-Distribution,Policy F: Adaptive Conformal Risk Policy,N/A,80,53.75,46.25,1.13,0.0,13.22,17.91,11.25,88.75,1,1.0,0,Starvation Protection (MaxDef=1),False,1,36.25
Out-Of-Distribution,Policy F: Adaptive Conformal Risk Policy,N/A,80,37.5,62.5,0.54,0.0,11.34,17.87,6.25,93.75,2,1.72,0,Starvation Protection (MaxDef=2),False,2,20.0
Out-Of-Distribution,Policy F: Adaptive Conformal Risk Policy,N/A,80,31.25,68.75,0.19,0.0,11.17,17.91,6.25,93.75,3,2.5,15,Starvation Protection (MaxDef=3),False,3,13.75
Out-Of-Distribution,Policy F: Adaptive Conformal Risk Policy,N/A,80,22.5,77.5,-0.46,0.0,6.53,17.87,2.5,97.5,5,3.26,12,Starvation Protection (MaxDef=5),False,5,5.0
