query,state,stage_id,stage_name,task_count,stage_duration_ms,total_task_duration_ms,avg_task_duration_ms,max_task_duration_ms,sum_input_bytes,sum_input_records,sum_file_splits,max_concurrency,utilized_parallelism_ratio
Q12,Compacted,89,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,535,530,530.00,530,3317556,1500000,16,1,0.0625
Q12,Compacted,90,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,2,396,621,310.50,393,50482974,6001215,4,2,0.1250
Q12,Compacted,94,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,14,122,1575,112.50,119,0,0,0,14,0.8750
Q12,Compacted,97,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,10,6,6.00,6,0,0,0,1,0.0625
Q12,Compacted,100,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,12,8,8.00,8,0,0,0,1,0.0625
Q12,Compacted,104,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,10,5,5.00,5,0,0,0,1,0.0625
Q14,Control,106,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,2,405,498,249.00,402,51763108,6001215,16,2,0.1250
Q14,Control,108,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,8,5,5.00,5,0,0,0,1,0.0625
Q14,Fragmented,110,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,7,369,2279,325.57,365,81740690,6001215,200,7,0.4375
Q14,Fragmented,112,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,8,5,5.00,5,0,0,0,1,0.0625
Q14,Compacted,114,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,2,259,392,196.00,256,49864478,6001215,4,2,0.1250
Q14,Compacted,116,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,5,3,3.00,3,0,0,0,1,0.0625
Q18,Control,118,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,819,817,817.00,817,14589748,1500000,16,1,0.0625
Q18,Control,119,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,2,2215,2758,1379.00,2211,14870436,6001215,16,2,0.1250
Q18,Control,120,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,2,1379,1682,841.00,1377,14870436,6001215,16,2,0.1250
Q18,Control,124,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,17,2710,41733,2454.88,2704,0,0,0,17,1.0625
Q18,Fragmented,125,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,1491,1483,1483.00,1483,14589748,1500000,16,1,0.0625
Q18,Fragmented,127,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,7,3278,20205,2886.43,3272,41736846,6001215,200,7,0.4375
Q18,Fragmented,128,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,7,1242,7679,1097.00,1236,41736846,6001215,200,7,0.4375
Q18,Fragmented,132,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,17,3297,51445,3026.18,3287,0,0,0,17,1.0625
Q18,Compacted,133,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,1126,1096,1096.00,1096,14589748,1500000,16,1,0.0625
Q18,Compacted,135,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,2,4048,6602,3301.00,4044,24682270,6001215,4,2,0.1250
Q18,Compacted,136,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,2,1591,2483,1241.50,1589,24682270,6001215,4,2,0.1250
Q18,Compacted,140,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,17,2617,39253,2309.00,2610,0,0,0,17,1.0625
